Month,Date,Sale-off,Global,United States,Mexico,Brazil,Russian Federation,Ukraine,Germany,France,Indonesia,"Korea, Republic of",Viet Nam,Japan,Italy,India,Turkey,Thailand,Malaysia,United Arab Emirates
1,1,70%,a,💥Super Sale Happy New Year!💥,💥¡Super Sale Feliz Año Nuevo! 💥,💥Super venda Feliz Ano Novo! 💥,💥Супер распродажа с Новым годом! 💥,💥Супер Розпродаж З Новим Роком!💥,💥Super Sale Frohes neues Jahr!💥,💥 Super vente Bonne année ! 💥,💥 Penjualan Super Selamat Tahun Baru! 💥,💥슈퍼세일 새해 복 많이 받으세요!💥,💥 Siêu Sale Chúc Mừng Năm Mới! 💥,💥スーパーセール明けましておめでとうございます！💥,💥Super Saldi Felice Anno Nuovo!💥,💥 सुपर सेल नया साल मुबारक हो! 💥,💥Süper İndirim Mutlu Yıllar!💥,💥Super Sale สวัสดีปีใหม่!💥,💥Super Sale Selamat Tahun Baru!💥,💥 تخفيضات فائقة عام جديد سعيد! 💥
1,11,70%,a,💥 Super Sale 11:1 💥,💥 Super Sale 11:1 💥,💥 Super Venda 11:1 💥,💥 Супер распродажа 11:1 💥,💥 Супер розпродаж 11:1 💥,💥 Super Sale 11:1 💥,💥 Super Vente 11:1 💥,💥 Penjualan Super 11:1 💥,💥 슈퍼세일 11:1 💥,💥 Siêu Sale 11:1 💥,💥スーパーセール11：1💥,💥 Super vendita 11:1 💥,💥 सुपर सेल 11:1 💥,💥 Süper İndirim 11:1 💥,💥 ลดราคาพิเศษ 11:1 💥,💥 Super Sale 11:1 💥,💥 سوبر سيل 11: 1 💥
2,2,70%,a,💥 Super Sale 2:2 💥,💥 Super Sale 2:2 💥,💥 Super Venda 2:2 💥,💥 Супер распродажа 2:2 💥,💥 Супер розпродаж 2:2 💥,💥 Super Sale 2:2 💥,💥 Super Vente 2:2 💥,💥 Penjualan Super 2:2 💥,💥 슈퍼세일 2:2 💥,💥 Siêu Sale 2:2 💥,💥スーパーセール2：2💥,💥 Super vendita 2:2 💥,💥 सुपर सेल 2:2 💥,💥 Süper İndirim 2:2 💥,💥 ลดราคา 2:2 💥,💥 Super Sale 2:2 💥,💥 سوبر سيل 2: 2 💥
2,13-14,70%,a,💥 Happy Valentine's Day! 💥,💥 ¡Feliz San Valentín! 💥,💥 Feliz Dia dos Namorados! 💥,💥 С Днем святого Валентина! 💥,💥 З Днем Святого Валентина! 💥,💥 Alles Gute zum Valentinstag! 💥,💥 Joyeuse Saint Valentin ! 💥,💥 Selamat Hari Valentine! 💥,💥 해피 발렌타인 데이! 💥,💥 Chúc Bạn Ngày Lễ Tình Nhân Hạnh Phúc! 💥,💥ハッピーバレンタインデー！ 💥,💥 Buon San Valentino! 💥,💥 हैप्पी वेलेंटाइन डे! मैं 💥,💥 Sevgililer Gününüz kutlu olsun! 💥,💥 สุขสันต์วันวาเลนไทน์! 💥,💥 Selamat Hari Valentine! 💥,💥 عيد حب سعيد! 💥
3,6-8,70%,a,💥 Happy Women's Day! 💥,💥 ¡Feliz Día de la Mujer! 💥,💥 Feliz Dia da Mulher! 💥,💥 С женским днем! 💥,💥 З жіночим днем! 💥,💥 Alles Gute zum Frauentag! 💥,💥 Bonne journée de la femme ! 💥,💥 Selamat Hari Perempuan! 💥,💥 행복한 여성의 날! 💥,💥 Chúc Mừng Ngày Phụ Nữ! 💥,💥幸せな女性の日！ 💥,💥 Buona festa della donna! 💥,💥 महिला दिवस की शुभकामनाएं! मैं 💥,💥 Kadınlar gününüz kutlu olsun! 💥,💥 สุขสันต์วันสตรี! 💥,💥 Selamat Hari Wanita! 💥,💥 يوم سعيد للمرأة! 💥
3,23,70%,a,💥 Super Sale Goodbye March! 💥,💥 ¡Super Ofertas  Adiós Marzo! 💥,💥 Super Sale Goodbye March! 💥,"💥 Супер распродажа, прощай, март! 💥",💥 Супер розпродаж До побачення березень! 💥,💥 Super Sale Auf Wiedersehen März! 💥,💥 Super Solde Au revoir mars ! 💥,💥 Super Sale Selamat tinggal Maret! 💥,💥 슈퍼세일 굿바이 3월! 💥,💥 Siêu Sale Tạm Biệt Tháng 3! 💥,💥スーパーセールさようならマーチ！ 💥,💥 Super Saldi Arrivederci Marzo! 💥,💥 सुपर सेल अलविदा मार्च! मैं 💥,💥 Süper İndirim Elveda Mart! 💥,💥 Super Sale บอกลาเดือนมีนาคม! 💥,💥 Jualan Super Selamat Tinggal Mac! 💥,💥 سوبر سيل وداعا مارس! 💥
4,4,70%,a,💥 Super Sale 4:4 💥,💥 Super Ofertas 4:4 💥,💥 Super Venda 4:4 💥,💥 Супер распродажа 4:4 💥,💥 Супер розпродаж 4:4 💥,💥 Super Sale 4:4,💥 Super Vente 4:4 💥,💥 Penjualan Super 4:4 💥,💥 슈퍼세일 4:4 💥,💥 Siêu Sale 4:4 💥,💥スーパーセール4：4💥,💥 Super vendita 4:4 💥,💥 सुपर सेल 4:4 💥,💥 Süper İndirim 4:4 💥,💥 ลดสุดๆ 4:4 💥,💥 Jualan Super 4:4 💥,💥 سوبر سيل 4: 4 💥
4,20-22,70%,a,💥 Super Sale for Earth Day! 💥,💥 ¡Súper oferta para el Día de la Tierra! 💥,💥 Super Promoção para o Dia da Terra! 💥,💥 Супер распродажа ко Дню Земли! 💥,💥 Супер розпродаж до Дня Землі! 💥,💥 Super Sale zum Tag der Erde! 💥,💥 Super vente pour le Jour de la Terre ! 💥,💥 Obral Super untuk Hari Bumi! 💥,💥 지구의 날을 위한 슈퍼 세일! 💥,💥 Siêu Sale Nhân Ngày Trái Đất! 💥,💥アースデイのスーパーセール！ 💥,💥 Super saldi per la Giornata della Terra! 💥,💥 पृथ्वी दिवस के लिए सुपर सेल! मैं 💥,💥 Dünya Günü için Süper İndirim! 💥,💥 ลดราคาวันคุ้มครองโลก! 💥,💥 Super Sale untuk Hari Bumi! 💥,💥 تخفيضات كبيرة ليوم الأرض! 💥
5,4-5,70%,a,💥 Super Sale 5:5 💥,💥 Super Ofertas 5:5 💥,💥 Super Venda 5:5 💥,💥 Супер распродажа 5:5 💥,💥 Супер розпродаж 5:5 💥,💥 Super Sale 5:5 💥,💥 Super Vente 5:5 💥,💥 Penjualan Super 5:5 💥,💥 슈퍼세일 5:5 💥,💥 Siêu Sale 5:5 💥,💥スーパーセール5：5💥,💥 Super vendita 5:5 💥,💥 सुपर सेल 5:5 💥,💥 Süper İndirim 5:5 💥,💥 ลดสุดๆ 5:5 💥,💥 Super Sale 5:5 💥,💥 سوبر سيل 5: 5 💥
5,31,70%,a,💥 Super Sale Goodbye May! 💥,💥 ¡Super oferta adiós mayo! 💥,💥 Super Sale Goodbye May! 💥,"💥 Супер распродажа, прощай, май! 💥","💥 Супер розпродаж До побачення, травень! 💥",💥 Super Sale Auf Wiedersehen Mai! 💥,💥 Super Solde Au revoir Mai ! 💥,💥 Super Sale Selamat tinggal Mei! 💥,💥 슈퍼세일 굿바이 5월! 💥,💥 Siêu Sale Tạm Biệt Tháng 5! 💥,💥スーパーセールさようなら5月！ 💥,💥 Super Saldi Arrivederci maggio! 💥,💥 सुपर सेल अलविदा मई! मैं 💥,💥 Süper İndirim Elveda Mayıs! 💥,💥 Super Sale ลาก่อนเดือนพฤษภาคม! 💥,💥 Super Sale Selamat tinggal Mei! 💥,💥 Super Sale وداعا، مايو! 💥
